"","≥Ø¬•","ø™∏Ì","weekday","on_off_total"
"2","2017-01-02","Ω≈√Ã","1",17662
"9","2017-01-09","Ω≈√Ã","1",17855
"16","2017-01-16","Ω≈√Ã","1",16951
"23","2017-01-23","Ω≈√Ã","1",16475
"37","2017-02-06","Ω≈√Ã","1",17436
"44","2017-02-13","Ω≈√Ã","1",17383
"51","2017-02-20","Ω≈√Ã","1",17602
"58","2017-02-27","Ω≈√Ã","1",18746
"65","2017-03-06","Ω≈√Ã","1",18690
"72","2017-03-13","Ω≈√Ã","1",19072
"79","2017-03-20","Ω≈√Ã","1",18351
"86","2017-03-27","Ω≈√Ã","1",17478
"93","2017-04-03","Ω≈√Ã","1",17552
"100","2017-04-10","Ω≈√Ã","1",17359
"107","2017-04-17","Ω≈√Ã","1",15295
"114","2017-04-24","Ω≈√Ã","1",16276
"121","2017-05-01","Ω≈√Ã","1",15609
"128","2017-05-08","Ω≈√Ã","1",18693
"135","2017-05-15","Ω≈√Ã","1",17522
"142","2017-05-22","Ω≈√Ã","1",16561
"149","2017-05-29","Ω≈√Ã","1",17456
"156","2017-06-05","Ω≈√Ã","1",17403
"163","2017-06-12","Ω≈√Ã","1",15024
"170","2017-06-19","Ω≈√Ã","1",15754
"177","2017-06-26","Ω≈√Ã","1",16937
"184","2017-07-03","Ω≈√Ã","1",18009
"191","2017-07-10","Ω≈√Ã","1",15457
"198","2017-07-17","Ω≈√Ã","1",16856
"205","2017-07-24","Ω≈√Ã","1",15710
"212","2017-07-31","Ω≈√Ã","1",15181
"219","2017-08-07","Ω≈√Ã","1",16108
"226","2017-08-14","Ω≈√Ã","1",16672
"233","2017-08-21","Ω≈√Ã","1",15976
"240","2017-08-28","Ω≈√Ã","1",16225
"247","2017-09-04","Ω≈√Ã","1",17707
"254","2017-09-11","Ω≈√Ã","1",17416
"261","2017-09-18","Ω≈√Ã","1",16997
"268","2017-09-25","Ω≈√Ã","1",17212
"289","2017-10-16","Ω≈√Ã","1",16916
"296","2017-10-23","Ω≈√Ã","1",16217
"303","2017-10-30","Ω≈√Ã","1",18140
"310","2017-11-06","Ω≈√Ã","1",17518
"317","2017-11-13","Ω≈√Ã","1",17821
"324","2017-11-20","Ω≈√Ã","1",17757
"331","2017-11-27","Ω≈√Ã","1",17825
"338","2017-12-04","Ω≈√Ã","1",17129
"345","2017-12-11","Ω≈√Ã","1",16663
"352","2017-12-18","Ω≈√Ã","1",17439
