,≥Ø¬•,ø™∏Ì,ø‰¿œ,real total
0,2017-01-01,Ω≈√Ã,¿œ,"9,552"
1,2017-01-02,Ω≈√Ã,ø˘,"17,662"
2,2017-01-03,Ω≈√Ã,»≠,"17,848"
3,2017-01-04,Ω≈√Ã,ºˆ,"18,132"
4,2017-01-05,Ω≈√Ã,∏Ò,"18,547"
5,2017-01-06,Ω≈√Ã,±›,"20,389"
6,2017-01-07,Ω≈√Ã,≈‰,"19,761"
7,2017-01-08,Ω≈√Ã,¿œ,"11,808"
8,2017-01-09,Ω≈√Ã,ø˘,"17,855"
9,2017-01-10,Ω≈√Ã,»≠,"18,212"
10,2017-01-11,Ω≈√Ã,ºˆ,"18,526"
11,2017-01-12,Ω≈√Ã,∏Ò,"18,299"
12,2017-01-13,Ω≈√Ã,±›,"19,848"
13,2017-01-14,Ω≈√Ã,≈‰,"19,806"
14,2017-01-15,Ω≈√Ã,¿œ,"12,365"
15,2017-01-16,Ω≈√Ã,ø˘,"16,951"
16,2017-01-17,Ω≈√Ã,»≠,"17,797"
17,2017-01-18,Ω≈√Ã,ºˆ,"17,600"
18,2017-01-19,Ω≈√Ã,∏Ò,"18,349"
19,2017-01-20,Ω≈√Ã,±›,"19,509"
20,2017-01-21,Ω≈√Ã,≈‰,"20,183"
21,2017-01-22,Ω≈√Ã,¿œ,"12,766"
22,2017-01-23,Ω≈√Ã,ø˘,"16,475"
23,2017-01-24,Ω≈√Ã,»≠,"17,331"
24,2017-01-25,Ω≈√Ã,ºˆ,"18,472"
25,2017-01-26,Ω≈√Ã,∏Ò,"19,125"
26,2017-01-27,Ω≈√Ã,±›,"7,867"
27,2017-01-28,Ω≈√Ã,≈‰,"4,795"
28,2017-01-29,Ω≈√Ã,¿œ,"8,469"
29,2017-01-30,Ω≈√Ã,ø˘,"12,238"
30,2017-01-31,Ω≈√Ã,»≠,"17,065"
31,2017-02-01,Ω≈√Ã,ºˆ,"18,046"
32,2017-02-02,Ω≈√Ã,∏Ò,"17,652"
33,2017-02-03,Ω≈√Ã,±›,"19,763"
34,2017-02-04,Ω≈√Ã,≈‰,"19,253"
35,2017-02-05,Ω≈√Ã,¿œ,"12,099"
36,2017-02-06,Ω≈√Ã,ø˘,"17,436"
37,2017-02-07,Ω≈√Ã,»≠,"18,314"
38,2017-02-08,Ω≈√Ã,ºˆ,"18,583"
39,2017-02-09,Ω≈√Ã,∏Ò,"18,047"
40,2017-02-10,Ω≈√Ã,±›,"19,486"
41,2017-02-11,Ω≈√Ã,≈‰,"20,093"
42,2017-02-12,Ω≈√Ã,¿œ,"13,103"
43,2017-02-13,Ω≈√Ã,ø˘,"17,383"
44,2017-02-14,Ω≈√Ã,»≠,"19,484"
45,2017-02-15,Ω≈√Ã,ºˆ,"18,180"
46,2017-02-16,Ω≈√Ã,∏Ò,"18,786"
47,2017-02-17,Ω≈√Ã,±›,"21,031"
48,2017-02-18,Ω≈√Ã,≈‰,"20,846"
49,2017-02-19,Ω≈√Ã,¿œ,"12,287"
50,2017-02-20,Ω≈√Ã,ø˘,"17,602"
51,2017-02-21,Ω≈√Ã,»≠,"17,893"
52,2017-02-22,Ω≈√Ã,ºˆ,"17,731"
53,2017-02-23,Ω≈√Ã,∏Ò,"18,128"
54,2017-02-24,Ω≈√Ã,±›,"19,594"
55,2017-02-25,Ω≈√Ã,≈‰,"22,063"
56,2017-02-26,Ω≈√Ã,¿œ,"13,729"
57,2017-02-27,Ω≈√Ã,ø˘,"18,746"
58,2017-02-28,Ω≈√Ã,»≠,"19,081"
59,2017-03-01,Ω≈√Ã,ºˆ,"16,531"
60,2017-03-02,Ω≈√Ã,∏Ò,"18,655"
61,2017-03-03,Ω≈√Ã,±›,"20,768"
62,2017-03-04,Ω≈√Ã,≈‰,"20,781"
63,2017-03-05,Ω≈√Ã,¿œ,"12,833"
64,2017-03-06,Ω≈√Ã,ø˘,"18,690"
65,2017-03-07,Ω≈√Ã,»≠,"19,624"
66,2017-03-08,Ω≈√Ã,ºˆ,"20,212"
67,2017-03-09,Ω≈√Ã,∏Ò,"20,166"
68,2017-03-10,Ω≈√Ã,±›,"24,180"
69,2017-03-11,Ω≈√Ã,≈‰,"22,167"
70,2017-03-12,Ω≈√Ã,¿œ,"13,635"
71,2017-03-13,Ω≈√Ã,ø˘,"19,072"
72,2017-03-14,Ω≈√Ã,»≠,"20,333"
73,2017-03-15,Ω≈√Ã,ºˆ,"19,651"
74,2017-03-16,Ω≈√Ã,∏Ò,"19,765"
75,2017-03-17,Ω≈√Ã,±›,"22,012"
76,2017-03-18,Ω≈√Ã,≈‰,"21,631"
77,2017-03-19,Ω≈√Ã,¿œ,"13,573"
78,2017-03-20,Ω≈√Ã,ø˘,"18,351"
79,2017-03-21,Ω≈√Ã,»≠,"18,998"
80,2017-03-22,Ω≈√Ã,ºˆ,"19,578"
81,2017-03-23,Ω≈√Ã,∏Ò,"19,798"
82,2017-03-24,Ω≈√Ã,±›,"22,196"
83,2017-03-25,Ω≈√Ã,≈‰,"20,903"
84,2017-03-26,Ω≈√Ã,¿œ,"13,529"
85,2017-03-27,Ω≈√Ã,ø˘,"17,478"
86,2017-03-28,Ω≈√Ã,»≠,"18,757"
87,2017-03-29,Ω≈√Ã,ºˆ,"19,099"
88,2017-03-30,Ω≈√Ã,∏Ò,"19,032"
89,2017-03-31,Ω≈√Ã,±›,"20,444"
90,2017-04-01,Ω≈√Ã,≈‰,"20,104"
91,2017-04-02,Ω≈√Ã,¿œ,"12,827"
92,2017-04-03,Ω≈√Ã,ø˘,"17,552"
93,2017-04-04,Ω≈√Ã,»≠,"18,342"
94,2017-04-05,Ω≈√Ã,ºˆ,"18,411"
95,2017-04-06,Ω≈√Ã,∏Ò,"18,570"
96,2017-04-07,Ω≈√Ã,±›,"20,503"
97,2017-04-08,Ω≈√Ã,≈‰,"20,170"
98,2017-04-09,Ω≈√Ã,¿œ,"12,164"
99,2017-04-10,Ω≈√Ã,ø˘,"17,359"
100,2017-04-11,Ω≈√Ã,»≠,"18,175"
101,2017-04-12,Ω≈√Ã,ºˆ,"18,088"
102,2017-04-13,Ω≈√Ã,∏Ò,"17,789"
103,2017-04-14,Ω≈√Ã,±›,"17,850"
104,2017-04-15,Ω≈√Ã,≈‰,"16,978"
105,2017-04-16,Ω≈√Ã,¿œ,"10,563"
106,2017-04-17,Ω≈√Ã,ø˘,"15,295"
107,2017-04-18,Ω≈√Ã,»≠,"15,934"
